country_name,year,happiness_index,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Denmark,2019,7.693003177642822,10.947537422180176,0.9577063918113708,71.0,0.963318407535553,0.014690911397337914,0.17415058612823486,0.7968595027923584,0.18107062578201294
Denmark,2020,7.514631271362305,10.924473762512207,0.9473713636398315,71.125,0.9379318356513977,0.04517029598355293,0.2138417512178421,0.7525736689567566,0.2271018922328949
Denmark,2021,7.698747158050537,10.967554092407227,0.9449267387390137,71.25,0.9334392547607422,0.12983427941799164,0.17268094420433044,0.7918907999992371,0.20642220973968506
Estonia,2012,5.363927841186523,10.274958610534668,0.8894545435905457,67.45999908447266,0.6968257427215576,-0.19720862805843353,0.7928526997566223,0.6270431280136108,0.19896674156188965
Estonia,2013,5.367445945739746,10.292996406555176,0.9007217884063721,67.73999786376953,0.7535586953163147,-0.20627324283123016,0.7263563871383667,0.6505120992660522,0.19901816546916962
Estonia,2014,5.55598258972168,10.325288772583008,0.9171017408370972,68.0199966430664,0.773327112197876,-0.15847612917423248,0.6524474620819092,0.6196213960647583,0.2034391164779663
Estonia,2015,5.628908634185791,10.34299373626709,0.9179296493530273,68.30000305175781,0.8146923780441284,-0.16920073330402374,0.5687344670295715,0.6487849354743958,0.18269477784633636
Estonia,2016,5.649675369262695,10.373770713806152,0.9377151131629944,68.5250015258789,0.8427706956863403,-0.15494193136692047,0.6390852928161621,0.6568225622177124,0.1768692582845688
Estonia,2017,5.938395977020264,10.428864479064941,0.9356863498687744,68.75,0.8617492318153381,-0.10656443983316422,0.6684022545814514,0.7400963306427002,0.16016410291194916
Estonia,2018,6.091302394866943,10.462528228759766,0.9326937794685364,68.9749984741211,0.8856183886528015,-0.14661718904972076,0.6206779479980469,0.7302648425102234,0.1631821095943451
Estonia,2019,6.034641265869141,10.495527267456055,0.9340643286705017,69.19999694824219,0.8865043520927429,-0.10059057921171188,0.5757541656494141,0.7384289503097534,0.15627901256084442
Estonia,2020,6.452563762664795,10.48802661895752,0.9577704668045044,69.42500305175781,0.9542005658149719,-0.09033530950546265,0.39783477783203125,0.7616904377937317,0.1876794993877411
Estonia,2021,6.553915500640869,10.564051628112793,0.9458650350570679,69.6500015258789,0.9258183240890503,0.04551992192864418,0.44142577052116394,0.760608434677124,0.17625804245471954
Finland,2012,7.4202094078063965,10.735358238220215,0.9277393817901611,70.04000091552734,0.9209681153297424,-0.0070867338217794895,0.3607339560985565,0.74223393201828,0.20165443420410156
Finland,2013,7.44463586807251,10.72169303894043,0.9408690929412842,70.26000213623047,0.9186253547668457,0.03354348614811897,0.3057704567909241,0.7516428828239441,0.19467255473136902
Finland,2014,7.384571075439453,10.71390151977539,0.9520165324211121,70.4800033569336,0.9330439567565918,-0.0068079205229878426,0.2654798924922943,0.7664982080459595,0.19881388545036316
Finland,2015,7.447925567626953,10.716029167175293,0.9478005766868591,70.69999694824219,0.9298619031906128,0.10523997247219086,0.22336965799331665,0.7364262342453003,0.19105759263038635
Finland,2016,7.659843444824219,10.74088191986084,0.9539404511451721,70.7750015258789,0.9483721852302551,-0.032876525074243546,0.24965956807136536,0.7688056826591492,0.18199844658374786
Finland,2017,7.788251876831055,10.769960403442383,0.9638264179229736,70.8499984741211,0.9621989727020264,-0.008309740573167801,0.19241277873516083,0.7558576464653015,0.17606578767299652
Finland,2018,7.858107089996338,10.779966354370117,0.9621550440788269,70.92500305175781,0.9378073811531067,-0.13321293890476227,0.19860483705997467,0.7488264441490173,0.1817806512117386
Finland,2019,7.78034782409668,10.791037559509277,0.9374155402183533,71.0,0.947616696357727,-0.057517919689416885,0.1953384280204773,0.7322823405265808,0.1807328760623932
Finland,2020,7.889349937438965,10.765769958496094,0.9616207480430603,71.07499694824219,0.9624236822128296,-0.12266619503498077,0.16363589465618134,0.7479390501976013,0.19289757311344147
Finland,2021,7.79437780380249,10.793706893920898,0.9702892899513245,71.1500015258789,0.9631898403167725,-0.039150938391685486,0.19175365567207336,0.7516117095947266,0.17544862627983093
France,2012,6.649365425109863,10.664037704467773,0.937097430229187,71.4000015258789,0.8413203358650208,-0.1547306925058365,0.6079052686691284,0.7054621577262878,0.2529880106449127
France,2013,6.667121410369873,10.664618492126465,0.9076908230781555,71.5,0.8777957558631897,-0.130178764462471,0.6990693807601929,0.7410864233970642,0.20496968924999237
France,2014,6.466867923736572,10.669452667236328,0.8775045275688171,71.5999984741211,0.8034741878509521,-0.12376633286476135,0.6556374430656433,0.7586711049079895,0.21589383482933044
France,2015,6.3576250076293945,10.67696475982666,0.8957194089889526,71.69999694824219,0.8170362114906311,-0.1449432522058487,0.6406020522117615,0.7404272556304932,0.21540027856826782
France,2016,6.475208759307861,10.685220718383789,0.8849229216575623,71.80000305175781,0.7867804765701294,-0.09696164727210999,0.6226970553398132,0.7149360775947571,0.2700362503528595
France,2017,6.635222434997559,10.704975128173828,0.9314945936203003,71.9000015258789,0.8338901400566101,-0.12905699014663696,0.6014860272407532,0.7158063054084778,0.24198393523693085
France,2018,6.665903568267822,10.719868659973145,0.9214630722999573,72.0,0.8163772225379944,-0.1434064358472824,0.5817753076553345,0.7053083777427673,0.2824513614177704
France,2019,6.6896443367004395,10.734716415405273,0.9583480954170227,72.0999984741211,0.8272408246994019,-0.1387930065393448,0.5682722926139832,0.692844808101654,0.25041553378105164
France,2020,6.714111804962158,10.650960922241211,0.9473540186882019,72.19999694824219,0.8233863115310669,-0.17551392316818237,0.5646405816078186,0.6896242499351501,0.23095043003559113
France,2021,6.6562066078186035,10.714264869689941,0.9145975112915039,72.30000305175781,0.8369176983833313,-0.10408716648817062,0.5608129501342773,0.6846013069152832,0.26841744780540466
Germany,2012,6.702362060546875,10.81722354888916,0.9264066219329834,70.04000091552734,0.9044404625892639,0.0648575872182846,0.6792367100715637,0.6990493535995483,0.16957616806030273
Germany,2013,6.96512508392334,10.81886100769043,0.9314205646514893,70.05999755859375,0.8943129777908325,0.018139302730560303,0.5657942295074463,0.6931337714195251,0.20499591529369354
Germany,2014,6.9842143058776855,10.8365478515625,0.9375589489936829,70.08000183105469,0.8986834287643433,0.08171439170837402,0.47395291924476624,0.7389421463012695,0.1878448724746704
Germany,2015,7.037137508392334,10.84269905090332,0.925923228263855,70.0999984741211,0.8894288539886475,0.1716277301311493,0.4121682941913605,0.7223848104476929,0.20270515978336334
Germany,2016,6.873763084411621,10.856682777404785,0.9060292840003967,70.30000305175781,0.8705150485038757,0.14228937029838562,0.4459221363067627,0.7093761563301086,0.18725493550300598
Germany,2017,7.074324607849121,10.87939453125,0.8921660780906677,70.5,0.8407278656959534,0.13898365199565887,0.41402119398117065,0.7071136832237244,0.19643481075763702
Germany,2018,7.118364334106445,10.886154174804688,0.9197631478309631,70.69999694824219,0.8768875002861023,0.02817559987306595,0.4956739544868469,0.7401749491691589,0.24321457743644714
Germany,2019,7.035472393035889,10.8944091796875,0.8856673240661621,70.9000015258789,0.884751558303833,0.05094149708747864,0.4622551500797272,0.7124611139297485,0.22617121040821075
Germany,2020,7.3118977546691895,10.855923652648926,0.9050804972648621,71.0999984741211,0.8643560409545898,-0.0677168145775795,0.4240887761116028,0.6982660889625549,0.20592711865901947
Germany,2021,6.754523754119873,10.881431579589844,0.8675825595855713,71.30000305175781,0.778439998626709,0.07367802411317825,0.4175819158554077,0.7033330202102661,0.25119468569755554
